fecha,precio_real,precio_predicho,diferencia,error_%
2026-03-11 04:00:00+00:00,47.98,47.2405,-0.7395,1.54
2026-03-12 04:00:00+00:00,45.25,45.5293,0.2793,0.62
2026-03-13 04:00:00+00:00,45.77,45.5759,-0.1941,0.42
2026-03-16 04:00:00+00:00,45.76,47.5472,1.7872,3.91
2026-03-17 04:00:00+00:00,44.06,44.8111,0.7511,1.7
2026-03-18 04:00:00+00:00,45.03,46.5807,1.5507,3.44
2026-03-19 04:00:00+00:00,46.18,46.7878,0.6078,1.32
2026-03-20 04:00:00+00:00,43.87,56.9027,13.0327,29.71
2026-03-23 04:00:00+00:00,44.01,44.8192,0.8092,1.84
2026-03-24 04:00:00+00:00,44.06,45.0238,0.9638,2.19
2026-03-25 04:00:00+00:00,47.18,47.9086,0.7286,1.54
2026-03-26 04:00:00+00:00,44.1,44.7162,0.6162,1.4
